Long,Lat,,,
151.075484,-33.909572,,"{lng: 151.075484, lat: -33.909572},","151.075484 -33.909572,"
151.064306,-33.907802,,"{lng: 151.064306, lat: -33.907802},","151.064306 -33.907802,"
151.0639,-33.90616,,"{lng: 151.0639, lat: -33.90616},","151.0639 -33.90616,"
151.068287,-33.906855,,"{lng: 151.068287, lat: -33.906855},","151.068287 -33.906855,"
151.06857,-33.905643,,"{lng: 151.06857, lat: -33.905643},","151.06857 -33.905643,"
151.064053,-33.904945,,"{lng: 151.064053, lat: -33.904945},","151.064053 -33.904945,"
151.066137,-33.895456,,"{lng: 151.066137, lat: -33.895456},","151.066137 -33.895456,"
151.067123,-33.890131,,"{lng: 151.067123, lat: -33.890131},","151.067123 -33.890131,"
151.067433,-33.887708,,"{lng: 151.067433, lat: -33.887708},","151.067433 -33.887708,"
151.068037,-33.886562,,"{lng: 151.068037, lat: -33.886562},","151.068037 -33.886562,"
151.068162,-33.885847,,"{lng: 151.068162, lat: -33.885847},","151.068162 -33.885847,"
151.065599,-33.886277,,"{lng: 151.065599, lat: -33.886277},","151.065599 -33.886277,"
151.064197,-33.886686,,"{lng: 151.064197, lat: -33.886686},","151.064197 -33.886686,"
151.063301,-33.887105,,"{lng: 151.063301, lat: -33.887105},","151.063301 -33.887105,"
151.061742,-33.888019,,"{lng: 151.061742, lat: -33.888019},","151.061742 -33.888019,"
151.058097,-33.891042,,"{lng: 151.058097, lat: -33.891042},","151.058097 -33.891042,"
151.057157,-33.89165,,"{lng: 151.057157, lat: -33.89165},","151.057157 -33.89165,"
151.058575,-33.884286,,"{lng: 151.058575, lat: -33.884286},","151.058575 -33.884286,"
151.056025,-33.884292,,"{lng: 151.056025, lat: -33.884292},","151.056025 -33.884292,"
151.049126,-33.885852,,"{lng: 151.049126, lat: -33.885852},","151.049126 -33.885852,"
151.049504,-33.887099,,"{lng: 151.049504, lat: -33.887099},","151.049504 -33.887099,"
151.037759,-33.887762,,"{lng: 151.037759, lat: -33.887762},","151.037759 -33.887762,"
151.032362,-33.888223,,"{lng: 151.032362, lat: -33.888223},","151.032362 -33.888223,"
151.031369,-33.88815,,"{lng: 151.031369, lat: -33.88815},","151.031369 -33.88815,"
151.03009,-33.887801,,"{lng: 151.03009, lat: -33.887801},","151.03009 -33.887801,"
150.994677,-33.868353,,"{lng: 150.994677, lat: -33.868353},","150.994677 -33.868353,"
150.993194,-33.867101,,"{lng: 150.993194, lat: -33.867101},","150.993194 -33.867101,"
150.989909,-33.863434,,"{lng: 150.989909, lat: -33.863434},","150.989909 -33.863434,"
150.982497,-33.857193,,"{lng: 150.982497, lat: -33.857193},","150.982497 -33.857193,"
150.981613,-33.8582,,"{lng: 150.981613, lat: -33.8582},","150.981613 -33.8582,"
150.980281,-33.85939,,"{lng: 150.980281, lat: -33.85939},","150.980281 -33.85939,"
150.977283,-33.861423,,"{lng: 150.977283, lat: -33.861423},","150.977283 -33.861423,"
150.961757,-33.869747,,"{lng: 150.961757, lat: -33.869747},","150.961757 -33.869747,"
150.961524,-33.86956,,"{lng: 150.961524, lat: -33.86956},","150.961524 -33.86956,"
150.960802,-33.869476,,"{lng: 150.960802, lat: -33.869476},","150.960802 -33.869476,"
150.960003,-33.868919,,"{lng: 150.960003, lat: -33.868919},","150.960003 -33.868919,"
150.959923,-33.868546,,"{lng: 150.959923, lat: -33.868546},","150.959923 -33.868546,"
150.960321,-33.868166,,"{lng: 150.960321, lat: -33.868166},","150.960321 -33.868166,"
150.961056,-33.86845,,"{lng: 150.961056, lat: -33.86845},","150.961056 -33.86845,"
150.961303,-33.86844,,"{lng: 150.961303, lat: -33.86844},","150.961303 -33.86844,"
150.96145,-33.868213,,"{lng: 150.96145, lat: -33.868213},","150.96145 -33.868213,"
150.961372,-33.867768,,"{lng: 150.961372, lat: -33.867768},","150.961372 -33.867768,"
150.960976,-33.867346,,"{lng: 150.960976, lat: -33.867346},","150.960976 -33.867346,"
150.960895,-33.867059,,"{lng: 150.960895, lat: -33.867059},","150.960895 -33.867059,"
150.961243,-33.866521,,"{lng: 150.961243, lat: -33.866521},","150.961243 -33.866521,"
150.961251,-33.866163,,"{lng: 150.961251, lat: -33.866163},","150.961251 -33.866163,"
150.960213,-33.8645,,"{lng: 150.960213, lat: -33.8645},","150.960213 -33.8645,"
150.960384,-33.864002,,"{lng: 150.960384, lat: -33.864002},","150.960384 -33.864002,"
150.961153,-33.863571,,"{lng: 150.961153, lat: -33.863571},","150.961153 -33.863571,"
150.961193,-33.863385,,"{lng: 150.961193, lat: -33.863385},","150.961193 -33.863385,"
150.960456,-33.863187,,"{lng: 150.960456, lat: -33.863187},","150.960456 -33.863187,"
150.960057,-33.862894,,"{lng: 150.960057, lat: -33.862894},","150.960057 -33.862894,"
150.959598,-33.862114,,"{lng: 150.959598, lat: -33.862114},","150.959598 -33.862114,"
150.959538,-33.861669,,"{lng: 150.959538, lat: -33.861669},","150.959538 -33.861669,"
150.959674,-33.861142,,"{lng: 150.959674, lat: -33.861142},","150.959674 -33.861142,"
150.959504,-33.860867,,"{lng: 150.959504, lat: -33.860867},","150.959504 -33.860867,"
150.958611,-33.861311,,"{lng: 150.958611, lat: -33.861311},","150.958611 -33.861311,"
150.95842,-33.861165,,"{lng: 150.95842, lat: -33.861165},","150.95842 -33.861165,"
150.95841,-33.860849,,"{lng: 150.95841, lat: -33.860849},","150.95841 -33.860849,"
150.95815,-33.860645,,"{lng: 150.95815, lat: -33.860645},","150.95815 -33.860645,"
150.95773,-33.860466,,"{lng: 150.95773, lat: -33.860466},","150.95773 -33.860466,"
