Long,Lat,,,
151.084259,-33.777991,"{ lat: -33.777991, lng: 151.084259},","151.084259 -33.777991,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.084259, -33.777991, geography::STPointFromText('POINT(151.084259 -33.777991)', 4326));"
151.083823,-33.775702,"{ lat: -33.775702, lng: 151.083823},","151.083823 -33.775702,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.083823, -33.775702, geography::STPointFromText('POINT(151.083823 -33.775702)', 4326));"
151.083123,-33.774414,"{ lat: -33.774414, lng: 151.083123},","151.083123 -33.774414,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.083123, -33.774414, geography::STPointFromText('POINT(151.083123 -33.774414)', 4326));"
151.082085,-33.773026,"{ lat: -33.773026, lng: 151.082085},","151.082085 -33.773026,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.082085, -33.773026, geography::STPointFromText('POINT(151.082085 -33.773026)', 4326));"
151.081506,-33.770903,"{ lat: -33.770903, lng: 151.081506},","151.081506 -33.770903,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.081506, -33.770903, geography::STPointFromText('POINT(151.081506 -33.770903)', 4326));"
151.072043,-33.772908,"{ lat: -33.772908, lng: 151.072043},","151.072043 -33.772908,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.072043, -33.772908, geography::STPointFromText('POINT(151.072043 -33.772908)', 4326));"
151.060071,-33.775726,"{ lat: -33.775726, lng: 151.060071},","151.060071 -33.775726,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.060071, -33.775726, geography::STPointFromText('POINT(151.060071 -33.775726)', 4326));"
151.060398,-33.777077,"{ lat: -33.777077, lng: 151.060398},","151.060398 -33.777077,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.060398, -33.777077, geography::STPointFromText('POINT(151.060398 -33.777077)', 4326));"
151.057041,-33.77772,"{ lat: -33.77772, lng: 151.057041},","151.057041 -33.77772,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.057041, -33.77772, geography::STPointFromText('POINT(151.057041 -33.77772)', 4326));"
151.052174,-33.778915,"{ lat: -33.778915, lng: 151.052174},","151.052174 -33.778915,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.052174, -33.778915, geography::STPointFromText('POINT(151.052174 -33.778915)', 4326));"
151.051309,-33.775953,"{ lat: -33.775953, lng: 151.051309},","151.051309 -33.775953,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.051309, -33.775953, geography::STPointFromText('POINT(151.051309 -33.775953)', 4326));"
151.051001,-33.770544,"{ lat: -33.770544, lng: 151.051001},","151.051001 -33.770544,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.051001, -33.770544, geography::STPointFromText('POINT(151.051001 -33.770544)', 4326));"
151.050473,-33.76985,"{ lat: -33.76985, lng: 151.050473},","151.050473 -33.76985,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.050473, -33.76985, geography::STPointFromText('POINT(151.050473 -33.76985)', 4326));"
151.048724,-33.768768,"{ lat: -33.768768, lng: 151.048724},","151.048724 -33.768768,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.048724, -33.768768, geography::STPointFromText('POINT(151.048724 -33.768768)', 4326));"
151.048369,-33.768391,"{ lat: -33.768391, lng: 151.048369},","151.048369 -33.768391,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.048369, -33.768391, geography::STPointFromText('POINT(151.048369 -33.768391)', 4326));"
151.047423,-33.766545,"{ lat: -33.766545, lng: 151.047423},","151.047423 -33.766545,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047423, -33.766545, geography::STPointFromText('POINT(151.047423 -33.766545)', 4326));"
151.047235,-33.765633,"{ lat: -33.765633, lng: 151.047235},","151.047235 -33.765633,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047235, -33.765633, geography::STPointFromText('POINT(151.047235 -33.765633)', 4326));"
151.047802,-33.762495,"{ lat: -33.762495, lng: 151.047802},","151.047802 -33.762495,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.047802, -33.762495, geography::STPointFromText('POINT(151.047802 -33.762495)', 4326));"
151.048717,-33.760576,"{ lat: -33.760576, lng: 151.048717},","151.048717 -33.760576,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.048717, -33.760576, geography::STPointFromText('POINT(151.048717 -33.760576)', 4326));"
151.048961,-33.759313,"{ lat: -33.759313, lng: 151.048961},","151.048961 -33.759313,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.048961, -33.759313, geography::STPointFromText('POINT(151.048961 -33.759313)', 4326));"
