Long,Lat,,,
151.084259,-33.777991,0,,"{ lng: 151.084259, lat: -33.777991 },"
151.083823,-33.775702,0,,"{ lng: 151.083823, lat: -33.775702 },"
151.083123,-33.774414,0,,"{ lng: 151.083123, lat: -33.774414 },"
151.082085,-33.773026,0,,"{ lng: 151.082085, lat: -33.773026 },"
151.081506,-33.770903,0,,"{ lng: 151.081506, lat: -33.770903 },"
151.072043,-33.772908,0,,"{ lng: 151.072043, lat: -33.772908 },"
151.060071,-33.775726,0,,"{ lng: 151.060071, lat: -33.775726 },"
151.060398,-33.777077,0,,"{ lng: 151.060398, lat: -33.777077 },"
151.057041,-33.77772,0,,"{ lng: 151.057041, lat: -33.77772 },"
151.052174,-33.778915,0,,"{ lng: 151.052174, lat: -33.778915 },"
151.051309,-33.775953,0,,"{ lng: 151.051309, lat: -33.775953 },"
151.051001,-33.770544,0,,"{ lng: 151.051001, lat: -33.770544 },"
151.050473,-33.76985,0,,"{ lng: 151.050473, lat: -33.76985 },"
151.048724,-33.768768,0,,"{ lng: 151.048724, lat: -33.768768 },"
151.048369,-33.768391,0,,"{ lng: 151.048369, lat: -33.768391 },"
151.047423,-33.766545,0,,"{ lng: 151.047423, lat: -33.766545 },"
151.047235,-33.765633,0,,"{ lng: 151.047235, lat: -33.765633 },"
151.047802,-33.762495,0,,"{ lng: 151.047802, lat: -33.762495 },"
151.048717,-33.760576,0,,"{ lng: 151.048717, lat: -33.760576 },"
151.048961,-33.759313,0,,"{ lng: 151.048961, lat: -33.759313 },"
151.048704,-33.75735,0,,"{ lng: 151.048704, lat: -33.75735 },"
151.047663,-33.754239,0,,"{ lng: 151.047663, lat: -33.754239 },"
151.047647,-33.753666,0,,"{ lng: 151.047647, lat: -33.753666 },"
151.047899,-33.752839,0,,"{ lng: 151.047899, lat: -33.752839 },"
151.049001,-33.751128,0,,"{ lng: 151.049001, lat: -33.751128 },"
151.049433,-33.748748,0,,"{ lng: 151.049433, lat: -33.748748 },"
151.050163,-33.747753,0,,"{ lng: 151.050163, lat: -33.747753 },"
151.049715,-33.747721,0,,"{ lng: 151.049715, lat: -33.747721 },"
151.049411,-33.747496,0,,"{ lng: 151.049411, lat: -33.747496 },"
151.049037,-33.746882,0,,"{ lng: 151.049037, lat: -33.746882 },"
151.048304,-33.74495,0,,"{ lng: 151.048304, lat: -33.74495 },"
151.047762,-33.744133,0,,"{ lng: 151.047762, lat: -33.744133 },"
151.046947,-33.743364,0,,"{ lng: 151.046947, lat: -33.743364 },"
151.046037,-33.742903,0,,"{ lng: 151.046037, lat: -33.742903 },"
151.042916,-33.741945,0,,"{ lng: 151.042916, lat: -33.741945 },"
151.040615,-33.740522,0,,"{ lng: 151.040615, lat: -33.740522 },"
151.037021,-33.739677,0,,"{ lng: 151.037021, lat: -33.739677 },"
151.035569,-33.73847,0,,"{ lng: 151.035569, lat: -33.73847 },"
151.035077,-33.738265,0,,"{ lng: 151.035077, lat: -33.738265 },"
151.034414,-33.738106,0,,"{ lng: 151.034414, lat: -33.738106 },"
151.032694,-33.738077,0,,"{ lng: 151.032694, lat: -33.738077 },"
151.031382,-33.736944,0,,"{ lng: 151.031382, lat: -33.736944 },"
151.030492,-33.735852,0,,"{ lng: 151.030492, lat: -33.735852 },"
151.028629,-33.734096,0,,"{ lng: 151.028629, lat: -33.734096 },"
151.026935,-33.732754,0,,"{ lng: 151.026935, lat: -33.732754 },"
151.025181,-33.732174,0,,"{ lng: 151.025181, lat: -33.732174 },"
151.023452,-33.732253,0,,"{ lng: 151.023452, lat: -33.732253 },"
151.02046,-33.731454,0,,"{ lng: 151.02046, lat: -33.731454 },"
151.017392,-33.730924,0,,"{ lng: 151.017392, lat: -33.730924 },"
151.016831,-33.730682,0,,"{ lng: 151.016831, lat: -33.730682 },"
151.017982,-33.728226,0,,"{ lng: 151.017982, lat: -33.728226 },"
151.018419,-33.726553,0,,"{ lng: 151.018419, lat: -33.726553 },"
151.018558,-33.723237,0,,"{ lng: 151.018558, lat: -33.723237 },"
151.018159,-33.721139,0,,"{ lng: 151.018159, lat: -33.721139 },"
151.018286,-33.720206,0,,"{ lng: 151.018286, lat: -33.720206 },"
151.01906,-33.717599,0,,"{ lng: 151.01906, lat: -33.717599 },"
151.019022,-33.716975,0,,"{ lng: 151.019022, lat: -33.716975 },"
151.018533,-33.716179,0,,"{ lng: 151.018533, lat: -33.716179 },"
151.016301,-33.714892,0,,"{ lng: 151.016301, lat: -33.714892 },"
151.01525,-33.713558,0,,"{ lng: 151.01525, lat: -33.713558 },"
151.014796,-33.713201,0,,"{ lng: 151.014796, lat: -33.713201 },"
151.012151,-33.712186,0,,"{ lng: 151.012151, lat: -33.712186 },"
151.011823,-33.711878,0,,"{ lng: 151.011823, lat: -33.711878 },"
151.011365,-33.710852,0,,"{ lng: 151.011365, lat: -33.710852 },"
151.011118,-33.707208,0,,"{ lng: 151.011118, lat: -33.707208 },"
151.011308,-33.706361,0,,"{ lng: 151.011308, lat: -33.706361 },"
151.01186,-33.705629,0,,"{ lng: 151.01186, lat: -33.705629 },"
151.013661,-33.704848,0,,"{ lng: 151.013661, lat: -33.704848 },"
151.014407,-33.704136,0,,"{ lng: 151.014407, lat: -33.704136 },"
151.016005,-33.698225,0,,"{ lng: 151.016005, lat: -33.698225 },"
151.016337,-33.697449,0,,"{ lng: 151.016337, lat: -33.697449 },"
151.017913,-33.695102,0,,"{ lng: 151.017913, lat: -33.695102 },"
151.018931,-33.69402,0,,"{ lng: 151.018931, lat: -33.69402 },"
151.01962,-33.69374,0,,"{ lng: 151.01962, lat: -33.69374 },"
151.02059,-33.693893,0,,"{ lng: 151.02059, lat: -33.693893 },"
151.021744,-33.694466,0,,"{ lng: 151.021744, lat: -33.694466 },"
151.023472,-33.695678,0,,"{ lng: 151.023472, lat: -33.695678 },"
151.024107,-33.695899,0,,"{ lng: 151.024107, lat: -33.695899 },"
151.030217,-33.696013,0,,"{ lng: 151.030217, lat: -33.696013 },"
151.030387,-33.695801,0,,"{ lng: 151.030387, lat: -33.695801 },"
151.03065,-33.69582,0,,"{ lng: 151.03065, lat: -33.69582 },"
151.03125,-33.695109,0,,"{ lng: 151.03125, lat: -33.695109 },"
151.032071,-33.693564,0,,"{ lng: 151.032071, lat: -33.693564 },"
151.032394,-33.692318,0,,"{ lng: 151.032394, lat: -33.692318 },"
151.032076,-33.691567,0,,"{ lng: 151.032076, lat: -33.691567 },"
151.030974,-33.690122,0,,"{ lng: 151.030974, lat: -33.690122 },"
151.029769,-33.688977,0,,"{ lng: 151.029769, lat: -33.688977 },"
151.028038,-33.687843,0,,"{ lng: 151.028038, lat: -33.687843 },"
151.027582,-33.687268,0,,"{ lng: 151.027582, lat: -33.687268 },"
151.027494,-33.685824,0,,"{ lng: 151.027494, lat: -33.685824 },"
151.027642,-33.684408,0,,"{ lng: 151.027642, lat: -33.684408 },"
